pbratio,binder_con,defoamer,final_temp,viscosity,coating_speed,gap,lab_temperature,lab_humidity,thickness1,thickness2,thickness3,thickness4,thickness5,average_thickness,sheet_thickness,standard_deviation,standard_deviation_percent,failure,binary_failure,simulation
0.45,24,0.97,90,1000,0.5,300,22,49,180,182,181,180,180,180.6,105.6,0.8,0.442967885,0,0,0.3996092
0.45,24,0.97,90,1000,0.5,500,22,49,230,226,231,228,227,228.4,153.4,1.854723699,0.812050656,0,0,0.4448323
0.45,24,0.97,90,1000,0.5,700,22,49,260,259,256,262,254,258.2,183.2,2.856571371,1.106340578,0,0,0.4901767
0.45,24,0.97,90,1000,0.7,300,22,49,183,183,185,182,181,182.8,107.8,1.326649916,0.725738466,0,0,0.3964862
0.45,24,0.97,90,1000,0.7,500,22,49,232,235,235,236,231,233.8,158.8,1.939071943,0.829372089,0,0,0.4442236
0.45,24,0.97,90,1000,0.7,700,22,49,268,263,267,265,270,266.6,191.6,2.416609195,0.906455062,0,0,0.4887843
0.45,24,0.97,90,1000,1,300,22,49,183,183,183,183,182,182.8,107.8,0.4,0.218818381,0,0,0.3915652
0.45,24,0.97,90,1000,1,500,22,49,242,238,242,238,242,240.4,165.4,1.959591794,0.815138018,0,0,0.4416474
0.45,24,0.97,90,1000,1,700,22,49,282,283,280,284,280,281.8,206.8,1.6,0.567778566,2,1,0.4763901
0.45,24,0.97,90,1000,2,300,22,49,186,186,186,186,187,186.2,111.2,0.4,0.214822771,0,0,0.3964153
0.45,24,0.97,90,1000,2,500,22,49,246,243,248,280,294,262.2,187.2,20.78845834,7.928473812,2,1,0.4411669
0.45,24,0.97,90,1000,2,700,22,49,305,298,300,480,240,324.6,249.6,81.24432288,25.02905819,2,1,0.4798294
0.45,24,0.97,90,3300,0.5,300,22,49,199,199,199,198,199,198.8,123.8,0.4,0.201207243,0,0,0.3957119
0.45,24,0.97,90,3300,0.5,500,22,49,272,273,271,272,273,272.2,197.2,0.748331477,0.27491972,0,0,0.4423878
